talent_id,role_id,order
nm0000575,5,2
nm0000575,6,3
nm0000576,2,1
nm0000576,7,2
nm0000576,5,3
nm0000577,2,1
nm0000577,11,2
nm0000577,1,3
nm0000580,2,1
nm0000580,5,2
nm0000580,1,3
nm0000590,6,1
nm0000590,1,2
nm0000590,3,3
nm0000608,2,1
nm0000608,7,2
nm0000608,5,3
nm0000621,2,1
nm0000621,5,2
nm0000621,6,3
nm0000625,2,1
nm0000625,7,2
nm0000625,5,3
nm0000632,6,1
nm0000632,2,2
nm0000632,5,3
nm0000636,6,1
nm0000636,1,2
nm0000636,3,3
nm0000638,2,1
nm0000638,5,2
nm0000638,6,3
nm0000643,2,1
nm0000643,7,2
nm0000643,5,3
nm0000665,2,1
nm0000665,1,2
nm0000665,7,3
nm0000671,2,1
nm0000671,6,2
nm0000671,7,3
nm0000682,7,1
nm0000682,5,2
nm0000682,6,3
nm0000685,2,1
nm0000685,5,2
nm0000685,6,3
nm0000690,4,1
nm0000690,1,2
nm0000690,5,3
nm0000696,2,1
nm0000696,6,2
nm0000696,5,3
nm0000700,4,1
nm0000700,5,2
nm0000700,1,3
nm0000701,4,1
nm0000701,1,2
nm0000707,4,1
nm0000707,3,2
nm0000707,7,3
nm0000708,2,1
nm0000708,5,2
nm0000708,1,3
nm0000716,1,1
nm0000716,4,2
nm0000716,3,3
nm0000726,4,1
nm0000726,7,2
nm0000738,2,1
nm0000738,1,2
nm0000738,6,3
nm0000741,2,1
nm0000741,5,2
nm0000741,3,3
nm0000742,4,1
nm0000742,1,2
nm0000744,4,1
nm0000744,1,2
nm0000744,5,3
nm0000745,4,1
nm0000745,5,2
nm0000745,23,3
nm0000756,4,1
nm0000756,1,2
nm0000760,2,1
nm0000760,5,2
nm0000760,1,3
nm0000763,2,1
nm0000763,1,2
nm0000767,2,1
nm0000767,7,2
nm0000767,6,3
nm0000783,6,1
nm0000783,7,2
nm0000783,5,3
nm0000789,5,1
nm0000789,2,2
nm0000789,26,3
nm0000790,2,1
nm0000790,5,2
nm0000790,3,3
nm0000811,1,1
nm0000811,2,2
nm0000811,5,3
nm0000813,7,1
nm0000813,21,2
nm0000813,2,3
nm0000822,2,1
nm0000822,6,2
nm0000822,1,3
nm0000840,4,1
nm0000840,26,2
nm0000840,1,3
nm0000846,2,1
nm0000849,2,1
nm0000849,5,2
nm0000849,1,3
nm0000863,2,1
nm0000863,1,2
nm0000863,7,3
nm0000870,4,1
nm0000870,7,2
nm0000870,1,3
nm0000875,6,1
nm0000875,5,2
nm0000875,3,3
nm0000880,4,1
nm0000880,1,2
nm0000880,5,3
nm0000900,4,1
nm0000910,4,1
nm0000910,1,2
nm0000913,2,1
nm0000913,7,2
nm0000913,1,3
nm0000919,4,1
nm0000919,5,2
nm0000919,1,3
nm0000926,2,1
nm0000926,5,2
nm0000926,1,3
nm0000931,4,1
nm0000933,4,1
nm0000933,5,2
nm0000933,1,3
nm0000954,1,1
nm0000954,2,2
nm0000954,9,3
nm0000967,2,1
nm0000967,5,2
nm0000968,4,1
nm0000968,5,2
nm0000968,1,3
nm0000974,2,1
nm0000974,1,2
nm0000978,2,1
nm0000978,1,2
nm0000978,7,3
nm0000980,2,1
nm0000980,6,2
nm0000980,1,3
nm0000985,6,1
nm0000985,5,2
nm0000985,3,3
nm0000997,2,1
nm0000997,1,2
nm0000997,9,3
nm0001012,4,1
nm0001012,1,2
nm0001015,2,1
nm0001015,7,2
nm0001015,1,3
nm0001016,2,1
nm0001016,5,2
nm0001016,1,3
nm0001022,2,1
nm0001022,6,2
nm0001022,1,3
nm0001027,5,1
nm0001027,6,2
nm0001027,2,3
nm0001045,2,1
nm0001045,1,2
nm0001045,6,3
