title_id,order,aka_title,region,language,additional_attrs,is_original_title
tt0001256,1,The House with Closed Shutters,US,\N,\N,0
tt0001256,2,Дом с закрытыми ставнями,RU,\N,\N,0
tt0001256,3,The House with Closed Shutters,\N,\N,\N,1
tt0001256,4,La casa con las persianas echadas,ES,\N,\N,0
tt0002518,1,A Tangled Marriage,US,\N,\N,0
tt0003775,1,The City Beautiful,US,\N,\N,0
tt0005046,1,Cactus Jim's Shop Girl,US,\N,\N,0
tt0006308,1,A Woman's Resurrection,US,\N,\N,0
tt0007579,1,The Woman in 47,US,\N,\N,0
tt0008847,1,The Art Bug,US,\N,\N,0
tt0010108,1,Padaneto na Vavilon,BG,bg,\N,0
tt0010108,2,La mort de Babylone,FR,\N,\N,0
tt0010108,3,La chute de Babylone,FR,\N,\N,0
tt0010108,4,The Fall of Babylon,\N,\N,\N,1
tt0010108,5,The Fall of Babylon,US,\N,\N,0
tt0011376,1,Kärlek och björnjakt,\N,\N,\N,1
tt0011376,2,Den tapre bjørnejæger,DK,\N,\N,0
tt0011376,3,Kärlek och björnjakt,SE,\N,\N,0
tt0012644,1,Salvation Nell,US,\N,\N,0
tt0013919,1,Falsa reputación,ES,\N,\N,0
tt0013919,2,Chastity,US,\N,\N,0
tt0013919,3,Chastity,\N,\N,\N,1
tt0015190,1,On Probation,US,\N,\N,0
tt0015190,2,On Probation,\N,\N,\N,1
tt0015190,3,Onde Se Conhecem os Amigos,BR,\N,\N,0
tt0016449,1,Por aquí no se pasa,AR,\N,original subtitled version,0
tt0016449,2,The Trail Rider,US,\N,\N,0
tt0016449,3,The Trail Rider,\N,\N,\N,1
tt0016449,4,Steppenehre,AT,\N,\N,0
tt0017703,1,New York i Lygteskær,DK,\N,\N,0
tt0017703,2,Noce Broadwayu,PL,\N,\N,0
tt0017703,3,El dueto errante,ES,\N,\N,0
tt0017703,4,Fay et Fanchette,FR,\N,\N,0
tt0017703,5,Broadway Nights,\N,\N,\N,1
tt0017703,6,Noites da Broadway,PT,\N,\N,0
tt0017703,7,Noites de Broadway,BR,\N,\N,0
tt0017703,8,Broadway Nights,US,\N,\N,0
tt0018969,1,Gypsy of the North,US,\N,\N,0
tt0020243,1,One Stolen Night,\N,\N,\N,1
tt0020243,2,A Dançarina do Deserto,BR,\N,\N,0
tt0020243,3,One Stolen Night,US,\N,\N,0
tt0021527,1,The Voice from the Sky,US,\N,\N,0
tt0022811,1,Lloyd of the C.I.D.,GB,\N,\N,0
tt0022811,2,Detective Lloyd,GB,\N,\N,0
tt0022811,3,Detective Lloyd,\N,\N,\N,1
tt0022811,4,Detective Lloyd,US,\N,copyright title,0
tt0024093,1,The Hayseeds,AU,\N,\N,0
tt0025359,1,Kvinnorna kring Larsson,SE,\N,\N,0
tt0025359,2,Kvinnorna kring Larsson,\N,\N,\N,1
tt0025359,3,Kvinderne omkring Larsson,DK,\N,\N,0
tt0025359,4,The Women Around Larsson,US,\N,\N,0
tt0026641,10,La pequeña rebelde,AR,\N,\N,0
tt0026641,11,Dóttir uppreisn-armannsins,IS,\N,\N,0
tt0026641,12,La piccola ribelle,IT,\N,\N,0
tt0026641,13,I kori tou epanastati,GR,\N,transliterated ISO-LATIN-1 title,0
tt0026641,14,La pequeña rebelde,VE,\N,\N,0
tt0026641,15,Der kleine Rebell,AT,\N,\N,0
tt0026641,16,La petite rebelle,FR,\N,\N,0
tt0026641,17,Maly buntownik,PL,\N,\N,0
tt0026641,18,A Pequena Rebelde,PT,\N,\N,0
tt0026641,19,Rebelde,ES,\N,\N,0
tt0026641,1,Der kleinste Rebell,DE,\N,\N,0
tt0026641,20,The Littlest Rebel,US,\N,\N,0
tt0026641,21,A kis lázadó,HU,\N,\N,0
tt0026641,22,Маленькая бунтарка,SUHH,ru,\N,0
tt0026641,2,Tempuru no aikokusha,JP,\N,\N,0
tt0026641,3,Den lille rebel,DK,\N,\N,0
tt0026641,4,The Littlest Rebel,\N,\N,\N,1
tt0026641,5,La fille du rebelle,FR,\N,reissue title,0
tt0026641,6,Lilla rebellen,SE,\N,\N,0
tt0026641,7,Pieni kapinoitsija,FI,\N,\N,0
tt0026641,8,De kleinste rebel,NL,\N,\N,0
tt0026641,9,A Pequena Rebelde,BR,\N,\N,0
tt0027911,1,Libe un Laydnshaft,US,yi,modern translation,0
tt0027911,2,Liebe und Leidenschaft,US,yi,\N,0
tt0027911,3,Love and Sacrifice,US,\N,\N,0
tt0027911,4,Love and Sacrifice,\N,\N,\N,1
tt0029177,1,The Lyin' Mouse,US,\N,\N,0
tt0030448,10,Mickeys ferievogn,DK,\N,\N,0
tt0030448,11,Mickey's Trailer,\N,\N,\N,1
tt0030448,12,Mikin perävaunu,FI,\N,\N,0
tt0030448,13,Mikin asuntovaunu,FI,\N,\N,0
tt0030448,14,W przyczepie Mikiego,PL,\N,\N,0
tt0030448,15,Вагончик Микки,SUHH,ru,\N,0
tt0030448,16,Musses husvagn,SE,\N,\N,0
tt0030448,17,Jan Långben som bildrulle,SE,\N,\N,0
tt0030448,1,Caravane tous risques,FR,\N,8mm release title,0
tt0030448,2,La caravana de Mickey,ES,\N,\N,0
tt0030448,3,Mickey's Trailer,US,\N,\N,0
tt0030448,4,O Trailer de Mickey,BR,\N,\N,0
tt0030448,5,Mickys Wohnwagen,DE,\N,\N,0
tt0030448,6,Gefährliche Reise,DE,\N,\N,0
tt0030448,7,Mickeys trailer,NO,\N,\N,0
tt0030448,8,Musse Pigg på camping,SE,\N,\N,0
tt0030448,9,La remorque de Mickey,FR,\N,\N,0
tt0031721,1,Nick Carter gran detective,MX,\N,\N,0
tt0031721,2,"Nick Carter, Rei dos Detectives",PT,\N,\N,0
tt0031721,3,Nick Carter,IT,\N,\N,0
tt0031721,4,"Nick Carter, gran detective",AR,\N,\N,0
tt0031721,5,"Nick Carter, Master Detective",\N,\N,\N,1
tt0031721,6,Nick Carter nem téved,HU,\N,\N,0
tt0031721,7,Nick Carter - mästerdetektiv,SE,\N,\N,0
tt0031721,8,"Nick Carter, Master Detective",US,\N,\N,0
tt0031721,9,Nick Carter - Super Detetive,BR,\N,\N,0
