title_id,genre_id,order
tt0001256,9,1
tt0001256,2,2
tt0002518,4,1
tt0002518,2,2
tt0003775,15,1
tt0003775,9,2
tt0003775,2,3
tt0005046,4,1
tt0005046,2,2
tt0005046,16,3
tt0006308,9,1
tt0007579,9,1
tt0007579,5,2
tt0008847,4,1
tt0008847,2,2
tt0010108,9,1
tt0011376,4,1
tt0011376,2,2
tt0012644,9,1
tt0013919,9,1
tt0016449,16,1
tt0017703,9,1
tt0017703,5,2
tt0021527,21,1
tt0022811,7,1
tt0022811,18,2
tt0022811,15,3
tt0024093,4,1
tt0024093,23,2
tt0025359,4,1
tt0026641,4,1
tt0026641,9,2
tt0026641,17,3
tt0027911,15,1
tt0027911,9,2
tt0029177,3,1
tt0029177,4,2
tt0029177,17,3
tt0030448,18,1
tt0030448,3,2
tt0030448,4,3
tt0031721,15,1
tt0031721,9,2
tt0031721,20,3
tt0032995,4,1
tt0032995,2,2
tt0032995,16,3
tt0034263,4,1
tt0034263,2,2
tt0036791,9,1
tt0036791,14,2
tt0038060,3,1
tt0038060,4,2
tt0038060,17,3
tt0039323,15,1
tt0039323,9,2
tt0039323,20,3
tt0040589,9,1
tt0041863,23,1
tt0043136,2,1
tt0044408,4,1
tt0044408,23,2
tt0044408,5,3
tt0045678,7,1
tt0045678,18,2
tt0046960,4,1
tt0048237,4,1
tt0048237,5,2
tt0049498,4,1
tt0050772,15,1
tt0052062,9,1
tt0053354,4,1
tt0053354,15,2
tt0053354,9,3
tt0054632,9,1
tt0054632,20,2
tt0055904,4,1
tt0055904,9,2
tt0057180,18,1
tt0057180,9,2
tt0057180,17,3
tt0058450,9,1
tt0058450,23,2
tt0058450,5,3
tt0061006,21,1
tt0062295,4,1
tt0063578,15,1
tt0064856,9,1
tt0064856,5,2
tt0064856,22,3
tt0066135,4,1
tt0067412,4,1
tt0068683,4,1
tt0069971,4,1
tt0069971,17,2
tt0071263,4,1
tt0071263,9,2
tt0072544,9,1
tt0073823,28,1
tt0073823,4,2
tt0075111,9,1
tt0076393,9,1
tt0076393,13,2
tt0077665,7,1
tt0077665,9,2
tt0078947,4,1
tt0080241,4,1
tt0080241,13,2
tt0081525,9,1
tt0084085,15,1
tt0084085,9,2
tt0084085,5,3
tt0085377,9,1
tt0085377,20,2
tt0086656,9,1
tt0086656,5,2
tt0087933,7,1
tt0087933,22,2
tt0089208,4,1
tt0089208,13,2
tt0089208,5,3
tt0090488,4,1
tt0091762,7,1
tt0091762,4,2
tt0091762,15,3
tt0093040,1,1
tt0094321,4,1
tt0094321,13,2
tt0094321,5,3
tt0095590,2,1
tt0096870,4,1
tt0098143,10,1
tt0098143,11,2
tt0098143,21,3
tt0099426,7,1
tt0099426,15,2
tt0099426,9,3
tt0100711,9,1
tt0101981,11,1
tt0101981,22,2
tt0103246,9,1
tt0104513,4,1
tt0104513,23,2
tt0104513,2,3
tt0105786,9,1
tt0107057,15,1
tt0107057,9,2
tt0107057,22,3
tt0108336,7,1
tt0109609,1,1
tt0109609,2,2
tt0110878,9,1
tt0112157,9,1
tt0113438,7,1
tt0113438,9,2
tt0114719,2,1
tt0116015,7,1
tt0116015,4,2
tt0116015,15,3
tt0117305,4,1
tt0118614,9,1
tt0118614,13,2
tt0119919,4,1
tt0119919,2,2
tt0122724,4,1
tt0124058,4,1
tt0124058,17,2
tt0125367,28,1
tt0128000,18,1
tt0128000,17,2
tt0128000,11,3
tt0129301,1,1
tt0130623,18,1
tt0130623,3,2
tt0130623,17,3
tt0131925,28,1
tt0133239,1,1
tt0134553,28,1
tt0137191,9,1
tt0137191,5,2
tt0137191,2,3
tt0138512,2,1
tt0139872,4,1
tt0139872,9,2
tt0141180,28,1
tt0141180,20,2
tt0142465,28,1
tt0143782,9,1
tt0145093,3,1
tt0145093,2,2
tt0146408,3,1
tt0146408,4,2
tt0146408,2,3
tt0147705,3,1
tt0147705,2,2
tt0149009,28,1
tt0150308,3,1
tt0150308,4,2
tt0150308,17,3
tt0151581,3,1
tt0151581,2,2
tt0152872,3,1
tt0152872,4,2
tt0152872,17,3
tt0154178,9,1
tt0155476,9,1
tt0158077,2,1
tt0159444,4,1
tt0159444,2,2
tt0160828,14,1
tt0162154,1,1
tt0162154,2,2
tt0163471,8,1
tt0164827,2,1
tt0167552,18,1
tt0167552,3,2
tt0167552,4,3
tt0168890,4,1
tt0170240,9,1
tt0171529,1,1
tt0171529,2,2
tt0172834,4,1
tt0172834,13,2
tt0172834,2,3
tt0174128,15,1
tt0174128,9,2
tt0178057,3,1
tt0178057,2,2
tt0179387,28,1
tt0180737,1,1
tt0184758,9,1
tt0184758,11,2
tt0184758,20,3
tt0186081,17,1
tt0187426,9,1
tt0188781,7,1
tt0190113,9,1
tt0191466,28,1
tt0192791,28,1
tt0194128,4,1
tt0195452,4,1
tt0195452,17,2
tt0195452,25,3
tt0198101,25,1
tt0199459,9,1
tt0200838,9,1
tt0202236,9,1
tt0202236,21,2
tt0202236,22,3
tt0203580,4,1
tt0203580,9,2
tt0203580,5,3
tt0206220,9,1
tt0206220,5,2
tt0206220,22,3
tt0207546,12,1
tt0207546,1,2
tt0208892,1,1
tt0210210,1,1
tt0211561,18,1
tt0211561,16,2
